confirmedCount,suspectedCount,curedCount,deadCount,updateTime
68592,8228,9671,1666,2020-02-16 18:16:10.394
68592,8228,9666,1666,2020-02-16 18:13:06.208
68592,8228,9665,1666,2020-02-16 18:09:00.651
68592,8228,9663,1666,2020-02-16 18:07:59.274
68592,8228,9663,1666,2020-02-16 17:56:43.411
68592,8228,9645,1666,2020-02-16 17:51:35.132
68592,8228,9629,1666,2020-02-16 17:49:32.178
68591,8228,9629,1666,2020-02-16 17:48:30.968
68589,8228,9629,1666,2020-02-16 17:33:12.799
68589,8228,9622,1666,2020-02-16 17:31:10.222
68589,8228,9586,1666,2020-02-16 17:07:16.682
68589,8228,9581,1666,2020-02-16 16:23:28.598
68589,8228,9553,1666,2020-02-16 16:08:46.757
68589,8228,9550,1666,2020-02-16 16:07:44.021
68586,8228,9550,1666,2020-02-16 15:32:12.684
68586,8228,9547,1666,2020-02-16 15:24:54.702
68584,8228,9547,1666,2020-02-16 14:36:20.580
68584,8228,9545,1666,2020-02-16 13:15:15.116
68584,8228,9526,1666,2020-02-16 11:57:02.138
68584,8228,9526,1666,2020-02-16 11:48:34.832
68584,8228,9502,1666,2020-02-16 11:43:33.955
68584,8228,9502,1666,2020-02-16 11:31:02.160
66581,8969,8494,1524,2020-02-15 22:51:06.784
66581,8969,8489,1524,2020-02-15 22:06:57.531
66581,8969,8487,1524,2020-02-15 21:47:57.103
66581,8969,8487,1524,2020-02-15 21:42:35.012
66580,8969,8483,1524,2020-02-15 20:57:14.151
66580,8969,8483,1524,2020-02-15 20:53:58.523
66580,8969,8472,1524,2020-02-15 20:02:41.323
66580,8969,8432,1524,2020-02-15 19:58:24.773
66580,8969,8414,1524,2020-02-15 19:40:07.231
66580,8969,8413,1524,2020-02-15 19:14:50.621
66580,8969,8362,1524,2020-02-15 17:45:14.421
66580,8969,8315,1524,2020-02-15 16:51:03.132
66579,8969,8315,1524,2020-02-15 16:32:52.911
66579,8969,8270,1524,2020-02-15 15:38:43.493
66577,8969,8270,1524,2020-02-15 15:00:22.882
66577,8969,8256,1524,2020-02-15 14:27:21.692
66577,8969,8208,1524,2020-02-15 14:02:52.055
66577,8969,8206,1524,2020-02-15 13:59:39.858
66577,8969,8204,1524,2020-02-15 13:28:52.355
66577,8969,8200,1524,2020-02-15 12:55:59.084
66576,8969,8185,1524,2020-02-15 12:48:30.902
66576,8969,8184,1524,2020-02-15 11:50:01.777
66576,8969,8163,1524,2020-02-15 11:42:37.187
66576,8969,8163,1524,2020-02-15 11:40:30.480
