time,valueA,valueB,valueC,valueD
2020-01-24 23:54:14.308,1076,36,26,897
2020-01-25 23:54:35.140,2032,39,42,1408
2020-01-26 23:03:31.661,2692,49,56,2076
2020-01-27 23:55:25.804,5794,56,82,2857
2020-01-28 21:02:03.262,6973,73,106,4630
2020-01-29 23:31:04.208,9239,119,133,6095
2020-01-30 23:08:59.195,12167,135,171,8149
2020-01-31 22:43:05.199,15238,214,213,9811
2020-02-01 23:46:53.406,17988,275,259,11901
2020-02-02 23:47:32.964,19544,434,304,14490
2020-02-03 22:56:58.514,21558,527,361,17341
2020-02-04 23:38:26.203,23214,718,426,20530
2020-02-05 23:52:29.021,23260,1018,493,24434
2020-02-06 23:02:30.670,24702,1373,564,28138
2020-02-07 23:23:55.991,26359,1753,637,31264
2020-02-08 23:16:54.752,27657,2375,724,34673
2020-02-09 23:00:53.855,28942,2900,813,37289
2020-02-10 22:16:43.858,23589,3551,909,40262
2020-02-11 23:28:23.675,21675,4301,1017,42747
2020-02-12 23:07:23.610,16067,5066,1116,44765
2020-02-13 23:51:34.768,13435,6215,1368,59907
2020-02-14 23:18:15.495,10109,7092,1382,63950
2020-02-15 22:51:06.784,8969,8494,1524,66581
2020-02-16 18:16:10.394,8228,9671,1666,68592
