confirmedCount,suspectedCount,curedCount,deadCount,updateTime
68592,8228,9671,1666,2020-02-16 18:16:10.394
66581,8969,8494,1524,2020-02-15 22:51:06.784
63950,10109,7092,1382,2020-02-14 23:18:15.495
59907,13435,6215,1368,2020-02-13 23:51:34.768
44765,16067,5066,1116,2020-02-12 23:07:23.610
42747,21675,4301,1017,2020-02-11 23:28:23.675
40262,23589,3551,909,2020-02-10 22:16:43.858
37289,28942,2900,813,2020-02-09 23:00:53.855
34673,27657,2375,724,2020-02-08 23:16:54.752
31264,26359,1753,637,2020-02-07 23:23:55.991
28138,24702,1373,564,2020-02-06 23:02:30.670
24434,23260,1018,493,2020-02-05 23:52:29.021
20530,23214,718,426,2020-02-04 23:38:26.203
17341,21558,527,361,2020-02-03 22:56:58.514
14490,19544,434,304,2020-02-02 23:47:32.964
11901,17988,275,259,2020-02-01 23:46:53.406
9811,15238,214,213,2020-01-31 22:43:05.199
8149,12167,135,171,2020-01-30 23:08:59.195
6095,9239,119,133,2020-01-29 23:31:04.208
4630,6973,73,106,2020-01-28 21:02:03.262
2857,5794,56,82,2020-01-27 23:55:25.804
2076,2692,49,56,2020-01-26 23:03:31.661
1408,2032,39,42,2020-01-25 23:54:35.140
897,1076,36,26,2020-01-24 23:54:14.308
